Religion is essentially the art and the theory of the remaking of man. Man is not a finished creation.,Edmund Burke,Religion
"The Sabbath is a weekly cathedral raised up in my dining room, in my family, in my heart.",Anita Diament,Religion
"If the grandfather of the grandfather of Jesus had known what was hidden within him, he would have stood humble and awe-struck before his soul.",Khalil Gibran,Religion
"Let us not seek to bring religion to others, but let us endeavor to live it ourselves.",Paul Tournier,Religion
The God who existed before any religion counts on you to make the oneness of the human family known and celebrated.,Desmond Tutu,Religion
I know the Bible is inspired because it inspires me.,Dwight L. Moody,Religion
To gather with God's people in united adoration of the Father is as necessary to the Christian life as prayer.,Martin Luther,Religion
I never knew how to worship until I knew how to love.,Henry Ward Beecher,Religion
We are a religious people whose institutions presuppose a Supreme Being.,William O. Douglas,Religion
Wonder is the basis of worship.,Thomas Carlyle,Religion
"Even if a unity of faith is not possible, a unity of love is.",Hans Urs von Balthasar,Religion
"I think you can judge from somebody's actions a kind of a stability and sense of purpose perhaps created by strong religious roots. I mean, there's a certain patience, a certain discipline, I think, that religion helps you achieve.",George W. Bush,Religion
"Religion kept some of my relatives alive, because it was all they had. If they hadn't had some hope of heaven, some companionship in Jesus, they probably would have committed suicide, their lives were so hellish.",Octavia E. Butler,Religion
Christianity helps us face the music even when we don't like the tune.,Phillips Brooks,Religion
"I was always respectful of people who were deeply religious because I always felt that if they gave themselves to it, then it had to be important to them. But if you can go through life without it, that's OK, too. It's whatever suits you.",Clint Eastwood,Religion
"There must be freedom for all to live, to think, to worship, no book, no avenue must be closed.",James Larkin,Religion
Doubt is part of all religion. All the religious thinkers were doubters.,Isaac Bashevis Singer,Religion
"I call religion a natural authority, but it has usually been conceived as a supernatural authority.",Herbert Read,Religion
There seems to be a terrible misunderstanding on the part of a great many people to the effect that when you cease to believe you may cease to behave.,Louis Kronenberger,Religion
"Many good sayings are to be found in holy books, but merely reading them will not make one religious.",Ramakrishna,Religion
"The Godhead consists of the Father, the Son, and the Holy Spirit. The Father is a material being.",Orson Pratt,Religion
"A just laicism allows religious freedom. The state does not impose religion but rather gives space to religions with a responsibility toward civil society, and therefore it allows these religions to be factors in building up society.",Pope Benedict XVI,Religion
"This is God's world, not Satan's. Christians are the lawful heirs, not non-Christians.",Gary North,Religion
"Every man, either to his terror or consolation, has some sense of religion.",Heinrich Heine,Religion
"Give yourself entirely to God, enter and hide in the hidden ground of your soul.",Johannes Tauler,Religion
Religion is more like response to a friend than it is like obedience to an expert.,Austin Farrer,Religion
"Krishna children were taught that in the spiritual world there were no parents, only souls and hence this justified their being kept out of view from others, cloistered in separate buildings and sheltered from the evil material world.",Mary Garden,Religion
"Myself, first of all, I am a Jew. And that is the most important thing for me.",Ariel Sharon,Religion
"I believe in a religion that believes in freedom. Any time I have to accept a religion that won't let me fight a battle for my people, I say to hell with that religion.",Malcolm X,Religion
"To the first class belong the Gospels and Acts; to the second, the Epistles; to the third, the Revelation.",Philip Schaff,Religion
"I wasn't really too hyped on religion. I don't really believe in a religion like that. I just believe that there is a God. There's just somebody up there that listens to me, and they can show me better if I talk to them and build a relationship with them.",NLE Choppa,Religion
"We live in a society that wants to label you with a color, sexuality, religion, or ethnicity. It divides us, but it also allows us to find pride in our identity.",Logan Browning,Religion
I believe in the religion of Islam. I believe in Allah and peace.,Muhammad Ali,Religion
"For the record, I don't worship the devil. I just hate religion.","Tyler, The Creator",Religion
Religion is the opium of the masses.,Karl Marx,Religion
I don't have a religion. I believe in a God. I don't know what it looks like but it's MY god. My own interpretation of the supernatural.,Jennifer Aniston,Religion
Fascism is a religion. The twentieth century will be known in history as the century of Fascism.,Benito Mussolini,Religion
"There should be no discrimination against languages people speak, skin color, or religion.",Malala Yousafzai,Religion
"When it is a question of money, everybody is of the same religion.",Voltaire,Religion
"I have no religion, and at times I wish all religions at the bottom of the sea. He is a weak ruler who needs religion to uphold his government; it is as if he would catch his people in a trap.",Mustafa Kemal Ataturk,Religion
There is no higher religion than human service. To work for the common good is the greatest creed.,Woodrow Wilson,Religion
"We have enslaved the rest of the animal creation, and have treated our distant cousins in fur and feathers so badly that beyond doubt, if they were able to formulate a religion, they would depict the Devil in human form.",William Inge,Religion
My idea of religion is we are supposed to bring people together. We are not supposed to judge other people.,Charles Barkley,Religion
"I come from a Catholic religion, but I'm not Catholic.",Monica Bellucci,Religion
Religion is all-too-often a refuge for scoundrels.,Neal Boortz,Religion
There is no surer sign of decay in a country than to see the rites of religion held in contempt.,Niccolo Machiavelli,Religion
"I think we need to do some deep soul searching about what's important in our lives and renew our spirit and our spiritual thinking, whether it's through faith-based religion or just through loving nature or helping your fellow man.",Louie Schwartzberg,Religion
"The more powerful and original a mind, the more it will incline towards the religion of solitude.",Aldous Huxley,Religion
Music is my religion.,Jimi Hendrix,Religion
Religion is dangerous because it allows human beings who don't have all the answers to think that they do.,Bill Maher,Religion
"Religious wars are not caused by the fact that there is more than one religion, but by the spirit of intolerance... the spread of which can only be regarded as the total eclipse of human reason.",Montesquieu,Religion
I am against religion because it teaches us to be satisfied with not understanding the world.,Richard Dawkins,Religion
"Religion is the organization of spirituality into something that became the hand maiden of conquerors. Nearly all religions were brought to people and imposed on people by conquerors, and used as the framework to control their minds.",John Henrik Clarke,Religion
"A little philosophy inclineth man's mind to atheism, but depth in philosophy bringeth men's minds about to religion.",Francis Bacon,Religion
"I never considered a difference of opinion in politics, in religion, in philosophy, as cause for withdrawing from a friend.",Thomas Jefferson,Religion
No religion has mandated killing others as a requirement for its sustenance or promotion.,A. P. J. Abdul Kalam,Religion
"A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that he has the gods on his side.",Aristotle,Religion
"We must respect the other fellow's religion, but only in the sense and to the extent that we respect his theory that his wife is beautiful and his children smart.",H. L. Mencken,Religion
Science is a differential equation. Religion is a boundary condition.,Alan Turing,Religion
"Religion is the masterpiece of the art of animal training, for it trains people as to how they shall think.",Arthur Schopenhauer,Religion
"It's not surprising, then, they get bitter, they cling to guns or religion or antipathy to people who aren't like them or anti-immigrant sentiment or anti-trade sentiment as a way to explain their frustrations.",Barack Obama,Religion
"When man fell from grace, he lost a kingdom, not a religion. He lost dominion over the earth; He did not lose Heaven. Therefore, mankind's search is not for a religion or for Heaven but for his kingdom.",Myles Munroe,Religion
Let us with caution indulge the supposition that morality can be maintained without religion. Reason and experience both forbid us to expect that national morality can prevail in exclusion of religious principle.,George Washington,Religion
My concern with religion is that it allows us by the millions to believe what only lunatics or idiots could believe on their own. That's not to say that all religious people are lunatics or idiots. It's anything but that.,Sam Harris,Religion
Religion is all bunk.,Thomas A. Edison,Religion
"Any religion that professes to be concerned about the souls of men and is not concerned about the slums that damn them, the economic conditions that strangle them and the social conditions that cripple them is a spiritually moribund religion awaiting burial.","Martin Luther King, Jr.",Religion
The same thing which is now called Christian religion existed among the ancients. They have begun to call 'Christian' the true religion which existed before.,Saint Augustine,Religion
"Every religion is true one way or another. It is true when understood metaphorically. But when it gets stuck in its own metaphors, interpreting them as facts, then you are in trouble.",Joseph Campbell,Religion
"All religion, my friend, is simply evolved out of fraud, fear, greed, imagination, and poetry.",Edgar Allan Poe,Religion
Religion is an illusion and it derives its strength from the fact that it falls in with our instinctual desires.,Sigmund Freud,Religion
"There is only one religion, though there are a hundred versions of it.",George Bernard Shaw,Religion
